d1,d2,d3,open,high
13,10,2009,580.599976,580.599976
14,10,2009,588,598
15,10,2009,595,600
16,10,2009,585,602.450012
20,10,2009,599,625.950012
21,10,2009,621.400024,639.700012
22,10,2009,625.099976,644.799988
23,10,2009,627.5,645.900024
26,10,2009,641,656.849976
27,10,2009,644,653.150024
28,10,2009,645.5,650
29,10,2009,640,644
30,10,2009,638,649
03,11,2009,626.200012,634
04,11,2009,615,627.849976
05,11,2009,627.799988,635
06,11,2009,630,635
09,11,2009,625.799988,627.200012
10,11,2009,627,628
11,11,2009,626,646.900024
12,11,2009,648.799988,661
13,11,2009,655,674.799988
16,11,2009,664.900024,674.700012
17,11,2009,660,693
18,11,2009,690.25,705.5
19,11,2009,687,695.049988
20,11,2009,677,696
23,11,2009,693.299988,699.950012
24,11,2009,694.099976,703
25,11,2009,698,711.400024
26,11,2009,701,710
27,11,2009,681,685
30,11,2009,680,692.5
01,12,2009,696,696
02,12,2009,693,695.900024
03,12,2009,683.950012,696
04,12,2009,681.099976,700
07,12,2009,698.950012,705.799988
08,12,2009,705,705
09,12,2009,692.25,711
10,12,2009,706,710.75
11,12,2009,710,714
14,12,2009,703,711.849976
15,12,2009,706.5,711.700012
16,12,2009,700,717.5
17,12,2009,713,727.849976
18,12,2009,724.5,730.900024
21,12,2009,730,745.5
22,12,2009,736.5,742
23,12,2009,726.900024,747
24,12,2009,744,752.5
29,12,2009,748.700012,752.799988
30,12,2009,746,749
31,12,2009,746.900024,754
04,01,2010,749.75,757.900024
05,01,2010,756.25,759.799988
06,01,2010,752.900024,753
07,01,2010,733,735.799988
08,01,2010,700,716
11,01,2010,702,719.849976
12,01,2010,725.900024,752.950012
13,01,2010,750,796
14,01,2010,790,795
15,01,2010,790,799.200012
18,01,2010,801,816.400024
19,01,2010,801,802
20,01,2010,785,788.5
21,01,2010,778.650024,790.900024
22,01,2010,761,764.900024
25,01,2010,740.5,765.349976
27,01,2010,755.75,759.650024
28,01,2010,748.099976,758.450012
29,01,2010,732,740
01,02,2010,735.450012,761
02,02,2010,759,763.799988
03,02,2010,743,755.5
04,02,2010,759.799988,759.799988
05,02,2010,719.25,742.75
08,02,2010,735,735
09,02,2010,725,740.900024
10,02,2010,735,743.950012
11,02,2010,734.099976,747.799988
15,02,2010,746.5,747.700012
16,02,2010,747,762
17,02,2010,750,767.900024
18,02,2010,762,766.799988
19,02,2010,750.299988,759.799988
22,02,2010,760,763.200012
23,02,2010,721.349976,764.200012
24,02,2010,758,771
25,02,2010,770,773
26,02,2010,765,777
02,03,2010,763.099976,766
03,03,2010,769,774.400024
04,03,2010,770,772
05,03,2010,765,766.700012
08,03,2010,768,778
09,03,2010,762.599976,778
10,03,2010,765,784.650024
11,03,2010,783.299988,794.900024
12,03,2010,795,798.349976
15,03,2010,797.200012,817.200012
16,03,2010,818,829
17,03,2010,830.900024,844
18,03,2010,842,843
19,03,2010,830,834.200012
22,03,2010,811,832.799988
23,03,2010,829.900024,833.900024
25,03,2010,830.900024,836.799988
26,03,2010,830,835.900024
29,03,2010,829,829.900024
30,03,2010,813,815
31,03,2010,801,807.700012
01,04,2010,786.900024,810
05,04,2010,814,814
06,04,2010,804.799988,805
07,04,2010,794.799988,801.450012
08,04,2010,780,807.799988
09,04,2010,800,808.700012
12,04,2010,793.25,799.5
13,04,2010,794,823.5
15,04,2010,825.099976,834.900024
16,04,2010,820,828
19,04,2010,809.900024,825
20,04,2010,822.099976,831.950012
21,04,2010,786,798.700012
22,04,2010,788.5,793.400024
23,04,2010,730,792
26,04,2010,783,790.900024
27,04,2010,786,789.900024
28,04,2010,780,783.650024
29,04,2010,774,774.400024
30,04,2010,765,773
03,05,2010,756,771.5
04,05,2010,762.099976,772.900024
05,05,2010,761,767.900024
06,05,2010,764.5,770.599976
07,05,2010,758.900024,763
10,05,2010,747,773
11,05,2010,769,771.099976
12,05,2010,757,767.900024
13,05,2010,764.900024,771.5
14,05,2010,766,777
17,05,2010,759.450012,760
18,05,2010,741,742.5
19,05,2010,728,733.5
20,05,2010,720,733
21,05,2010,715,726
24,05,2010,726.099976,729.299988
25,05,2010,710,715
26,05,2010,708,741.700012
27,05,2010,736.900024,745
28,05,2010,748,751
31,05,2010,750,752
01,06,2010,742,751.599976
02,06,2010,740,757.049988
03,06,2010,760,767.950012
04,06,2010,766,769.299988
07,06,2010,745,757.150024
08,06,2010,752.950012,761.400024
09,06,2010,752.5,757
10,06,2010,735,752.900024
11,06,2010,760.5,763.299988
14,06,2010,762,787
15,06,2010,777.700012,777.700012
16,06,2010,772,778.900024
17,06,2010,771.900024,778
18,06,2010,771,789
21,06,2010,785,797.450012
22,06,2010,788,788
23,06,2010,770,790
24,06,2010,788,788
25,06,2010,775,775
28,06,2010,760,766.299988
29,06,2010,761,762.5
30,06,2010,750,754.299988
01,07,2010,748,748
02,07,2010,730.099976,745.650024
05,07,2010,749.25,749.900024
06,07,2010,740.099976,760
07,07,2010,758.5,766.450012
08,07,2010,770,778.549988
09,07,2010,778.099976,781.900024
12,07,2010,779.799988,793.799988
13,07,2010,793.400024,795
14,07,2010,785,785
15,07,2010,770,786.799988
16,07,2010,792,838.299988
19,07,2010,830.700012,833.799988
20,07,2010,830,834.5
21,07,2010,829.799988,842
22,07,2010,840,844.5
23,07,2010,848,850
26,07,2010,844.900024,848.950012
27,07,2010,848.5,858.900024
28,07,2010,848.700012,856.900024
29,07,2010,851.400024,856
30,07,2010,847,849.900024
02,08,2010,846,848.799988
03,08,2010,838.549988,843.400024
04,08,2010,865,871
05,08,2010,873,882
06,08,2010,878,883.400024
09,08,2010,847,883.400024
10,08,2010,878,878.049988
11,08,2010,860,873
12,08,2010,850.5,857.700012
13,08,2010,856,863.400024
16,08,2010,858,863
17,08,2010,880,880
18,08,2010,852.25,873.650024
19,08,2010,874.049988,880
20,08,2010,868,879.799988
23,08,2010,862,875.450012
24,08,2010,870,880.5
25,08,2010,870,879.900024
26,08,2010,872,876.349976
27,08,2010,873.349976,873.799988
30,08,2010,860.549988,863.049988
31,08,2010,845,846.700012
01,09,2010,844,859.849976
02,09,2010,864,865
03,09,2010,845.900024,851.700012
06,09,2010,838,857.25
07,09,2010,856,874.25
08,09,2010,860,882.5
09,09,2010,880,883
13,09,2010,879,887.900024
14,09,2010,880,898.400024
15,09,2010,896,917
16,09,2010,911,912.5
17,09,2010,895.099976,915.950012
20,09,2010,913,921.5
21,09,2010,914.950012,957
22,09,2010,956.799988,959
23,09,2010,934.900024,946
24,09,2010,933,938.400024
27,09,2010,1006,1006
28,09,2010,925,929.950012
29,09,2010,924.799988,938.200012
30,09,2010,923.200012,928.099976
01,10,2010,928.799988,965
04,10,2010,965.200012,974
05,10,2010,933.349976,965
06,10,2010,960,967
07,10,2010,960,965.75
08,10,2010,941,955
11,10,2010,943,955.700012
12,10,2010,941,956
13,10,2010,960,996.599976
14,10,2010,995,1004.299988
15,10,2010,996,1010
18,10,2010,951,982
19,10,2010,986.950012,987
20,10,2010,966,979.799988
21,10,2010,975,991.950012
22,10,2010,1022.049988,1049.900024
25,10,2010,1041,1069.599976
26,10,2010,1068,1068
27,10,2010,1064,1066
28,10,2010,1045.5,1065.5
29,10,2010,1052.599976,1059.699951
01,11,2010,1053,1064
02,11,2010,1058.949951,1059.25
03,11,2010,1052,1077.849976
04,11,2010,1058,1078.449951
08,11,2010,1082,1085
09,11,2010,1068,1099
10,11,2010,1092.5,1107
11,11,2010,1092,1092
12,11,2010,1069,1070
15,11,2010,1056,1079.800049
16,11,2010,1069,1070
18,11,2010,1052.550049,1069
19,11,2010,1049.849976,1049.849976
22,11,2010,1018.150024,1045
23,11,2010,1033,1045
24,11,2010,1034.099976,1034.099976
25,11,2010,1013.849976,1040
26,11,2010,1031,1050
29,11,2010,1060,1075
30,11,2010,1060,1086
01,12,2010,1067.550049,1091.900024
02,12,2010,1084.949951,1096
03,12,2010,1096,1112
06,12,2010,1092,1109
07,12,2010,1101,1101
08,12,2010,1090,1093.550049
09,12,2010,1081,1096.900024
10,12,2010,1071,1083.849976
13,12,2010,1075,1078
14,12,2010,1074,1090
15,12,2010,1084.949951,1105
16,12,2010,1104.449951,1143.400024
20,12,2010,1141,1174.5
21,12,2010,1165.900024,1171.849976
22,12,2010,1162.449951,1169
23,12,2010,1150,1160
24,12,2010,1136.099976,1148
27,12,2010,1142,1159
28,12,2010,1143,1151.25
29,12,2010,1149.300049,1160.900024
30,12,2010,1155,1171.900024
31,12,2010,1171.449951,1179
03,01,2011,1165,1176.699951
04,01,2011,1160,1165.25
05,01,2011,1154,1165.699951
06,01,2011,1170.449951,1182
07,01,2011,1177.949951,1186.800049
10,01,2011,1141.699951,1149.5
11,01,2011,1124.949951,1135
12,01,2011,1113,1151.699951
13,01,2011,1129.800049,1155.650024
14,01,2011,1130,1150
17,01,2011,1139,1145.449951
18,01,2011,1171.099976,1207
19,01,2011,1206,1208.650024
20,01,2011,1185,1219.5
21,01,2011,1201,1219
24,01,2011,1212.449951,1221
25,01,2011,1206.75,1219
27,01,2011,1190,1206.699951
28,01,2011,1195,1203
31,01,2011,1173,1173
01,02,2011,1157.199951,1166.099976
02,02,2011,1159,1195.949951
03,02,2011,1179,1194.5
04,02,2011,1183,1183
07,02,2011,1166,1172
08,02,2011,1136,1148.199951
09,02,2011,1119.5,1129.699951
10,02,2011,1107.699951,1115.099976
11,02,2011,1091,1102.800049
14,02,2011,1101,1119.550049
15,02,2011,1115.949951,1116
16,02,2011,1104.75,1110
17,02,2011,1098.199951,1115
18,02,2011,1108.75,1131.900024
21,02,2011,1090,1144.949951
22,02,2011,1124,1146.949951
23,02,2011,1124.099976,1144.949951
24,02,2011,1115.300049,1137
25,02,2011,1102.300049,1116.900024
28,02,2011,1108,1148.75
01,03,2011,1119,1132.449951
03,03,2011,1119,1154.550049
04,03,2011,1155,1164
07,03,2011,1126.800049,1126.800049
08,03,2011,1108,1128
09,03,2011,1123,1136.449951
10,03,2011,1123,1123
11,03,2011,1100,1103.599976
14,03,2011,1070,1100
15,03,2011,1080,1095
16,03,2011,1090,1122.75
17,03,2011,1110,1117.949951
18,03,2011,1094.599976,1108
21,03,2011,1086.099976,1092.75
22,03,2011,1072.5,1080.599976
23,03,2011,1069,1071
24,03,2011,1071,1095
25,03,2011,1109,1126.5
28,03,2011,1120,1126.949951
29,03,2011,1120,1150
30,03,2011,1147,1163
31,03,2011,1155,1196.5
01,04,2011,1183,1198
04,04,2011,1180.099976,1214.949951
05,04,2011,1212,1243.900024
06,04,2011,1240,1247
07,04,2011,1221,1221
08,04,2011,1197.800049,1213.900024
11,04,2011,1194.949951,1194.949951
13,04,2011,1180,1221.599976
15,04,2011,1211,1222
18,04,2011,1194,1213
19,04,2011,1150,1169.349976
20,04,2011,1178,1223.099976
21,04,2011,1237.199951,1245.900024
25,04,2011,1199.900024,1203.900024
26,04,2011,1199,1200
27,04,2011,1190.050049,1194.949951
28,04,2011,1180,1184
29,04,2011,1173,1173
02,05,2011,1165.5,1183.800049
03,05,2011,1158,1158
04,05,2011,1144.449951,1144.449951
05,05,2011,1142,1142
06,05,2011,1119.449951,1148
09,05,2011,1149,1152.25
10,05,2011,1135,1158.5
11,05,2011,1144.949951,1151
12,05,2011,1131,1133.449951
13,05,2011,1115,1141
16,05,2011,1124.449951,1145
17,05,2011,1130,1148
18,05,2011,1143.199951,1160
19,05,2011,1160,1169.400024
20,05,2011,1170,1182
23,05,2011,1174.699951,1174.699951
24,05,2011,1162.949951,1173
25,05,2011,1145.050049,1150.800049
26,05,2011,1132.050049,1142
27,05,2011,1147.800049,1150
30,05,2011,1146.5,1158.900024
31,05,2011,1160,1175.5
01,06,2011,1158.949951,1176.75
02,06,2011,1155.199951,1168
03,06,2011,1165.5,1175
06,06,2011,1148,1168.900024
07,06,2011,1163,1181
08,06,2011,1169,1182.300049
09,06,2011,1177.349976,1193.050049
10,06,2011,1188.949951,1196.900024
13,06,2011,1188,1189
14,06,2011,1180,1193
15,06,2011,1188,1202.849976
16,06,2011,1178.050049,1185.949951
17,06,2011,1162,1162
20,06,2011,1119.949951,1120.550049
21,06,2011,1078,1110.400024
22,06,2011,1111.050049,1116.599976
23,06,2011,1079.199951,1100
24,06,2011,1096,1139.900024
27,06,2011,1120.699951,1154.699951
28,06,2011,1158,1162.75
29,06,2011,1153,1177.849976
30,06,2011,1170,1185.400024
01,07,2011,1185.050049,1191
04,07,2011,1188,1198.949951
05,07,2011,1181.25,1189
06,07,2011,1180.099976,1192
07,07,2011,1184,1199.5
08,07,2011,1197,1204.900024
11,07,2011,1170,1178.949951
12,07,2011,1144,1150
13,07,2011,1152,1167.699951
14,07,2011,1150.550049,1159
15,07,2011,1350.300049,1350.300049
18,07,2011,1150.800049,1153.25
19,07,2011,1124,1146.949951
20,07,2011,1150,1155
21,07,2011,1132.5,1133.400024
22,07,2011,1133,1139.900024
25,07,2011,1132,1142.800049
26,07,2011,1139,1149.900024
27,07,2011,1146.050049,1154.050049
28,07,2011,1138.5,1143
29,07,2011,1136.599976,1141.75
01,08,2011,1138.099976,1149.800049
02,08,2011,1134,1135
03,08,2011,1122,1126.400024
04,08,2011,1113,1119.599976
05,08,2011,1078,1078
08,08,2011,1010,1031
09,08,2011,966,984.700012
10,08,2011,998.900024,1012
11,08,2011,980,984
12,08,2011,990.049988,992.049988
16,08,2011,971.900024,977.900024
17,08,2011,975,1010
18,08,2011,1007,1009.450012
19,08,2011,937.150024,944.450012
22,08,2011,929,930
23,08,2011,922.900024,986
24,08,2011,982.900024,982.900024
25,08,2011,964,972.900024
26,08,2011,954.900024,968.400024
29,08,2011,967,1025
30,08,2011,1029.849976,1050
02,09,2011,1061,1073
05,09,2011,1014,1034
06,09,2011,1019.400024,1041.349976
07,09,2011,1030.949951,1048.75
08,09,2011,1034.900024,1055
09,09,2011,1037,1051
12,09,2011,1002,1002.950012
13,09,2011,999,1023.200012
14,09,2011,1002,1028.400024
15,09,2011,1029.5,1044
16,09,2011,1045.199951,1071
19,09,2011,1023.5,1031.900024
20,09,2011,1024,1065
21,09,2011,1065,1067.199951
22,09,2011,1025,1034
23,09,2011,990,1014.5
26,09,2011,1000,1008.799988
27,09,2011,1015,1042
28,09,2011,1047,1063
29,09,2011,1040,1067.849976
30,09,2011,1054,1064.199951
03,10,2011,1024.949951,1048
04,10,2011,1036,1056.400024
05,10,2011,1052.25,1062
07,10,2011,1070,1077.75
10,10,2011,1048.300049,1074.5
11,10,2011,1071.050049,1078
12,10,2011,1064,1088.800049
13,10,2011,1095,1103.5
14,10,2011,1088.599976,1140
17,10,2011,1150,1154.900024
18,10,2011,1062,1064
19,10,2011,1043.5,1053.800049
20,10,2011,1036,1046
21,10,2011,1052,1059.900024
24,10,2011,1057,1091.650024
25,10,2011,1086.099976,1108.800049
28,10,2011,1101,1137.449951
31,10,2011,1118,1131.75
01,11,2011,1100,1122
02,11,2011,1095.050049,1121
03,11,2011,1100,1108.099976
04,11,2011,1117.199951,1123
08,11,2011,1100.949951,1114
09,11,2011,1111,1145
11,11,2011,1102,1139.900024
14,11,2011,1136,1156
15,11,2011,1127.800049,1138.449951
16,11,2011,1122.199951,1132.800049
17,11,2011,1114.699951,1123
18,11,2011,1109.949951,1109.949951
21,11,2011,1085,1087
22,11,2011,1068,1094
23,11,2011,1083,1083
24,11,2011,1069.75,1093.849976
25,11,2011,1088.400024,1088.400024
28,11,2011,1074,1095
29,11,2011,1094.400024,1105
30,11,2011,1089,1119.900024
01,12,2011,1135,1147.300049
02,12,2011,1130,1184.5
05,12,2011,1172,1182.699951
